,ADDRESS,CAMIS,Latitude,Longitude
4291,7708       3 AVENUE ,41019083,40.62996144,-74.0284808
4305,2110 RICHMOND ROAD,41020367,40.58130742,-74.11170235
4328,324        5 AVENUE ,41022637,40.6729,-73.98328103
4351,180        MADISON AVENUE ,41025331,40.74756249,-73.98318721
4373,300 WEST 23 STREET,41028791,40.74528204,-73.9986064
4465,205 10 AVENUE,41042010,40.74714783,-74.00464485
4490,191        CHRYSTIE STREET ,41046455,40.72173623,-73.99206561
4492,49 BROADWAY,41046492,40.70655883,-74.01276684
4538,75 INNIS STREET,41053864,40.63410806,-74.14379429
4580,435        HUDSON STREET ,41060064,40.73059438,-74.00686877
4620,142        MERCER STREET ,41065858,40.72469843,-73.99844374
4635,5660       MOSHOLU AVENUE ,41067996,40.90511873,-73.90150521
4702,300        WEST 114 STREET ,41076314,40.80308544,-73.95639994
4716,132 EAST 61 STREET,41077927,40.76366589,-73.96786234
4725,1377 SUTTER AVENUE,41079206,40.6735418,-73.86707559
4762,1032 CONEY ISLAND AVENUE,41083785,40.63250062,-73.96691122
4834,354 3 AVENUE,41091944,40.74066828,-73.98189161
4876,1462       1 AVENUE ,41097286,40.77036834,-73.95404434
4921,280        MARSH AVENUE ,41101925,40.57745511,-74.16419613
4925,68         GREENPOINT AVENUE ,41102912,40.72975776,-73.95828711
4963,9 EAST 18 STREET,41106233,40.73830879,-73.99118767
4981,136        WEST 55 STREET ,41108105,40.76342609,-73.97924084
4992,424        WEST 42 STREET ,41109419,40.7588114,-73.99368713
5023,303 HALSEY STREET,41114613,40.68290731,-73.94075089
5028,9201 4 AVENUE,41115447,40.61830102,-74.03011433
5068,189 WEST 10 STREET,41120361,40.73429849,-74.00303197
5068,189 WEST 10 STREET,41120361,40.73429849,-74.00303197
5071,106 KENMARE STREET,41120866,40.72117747,-73.99676727
5086,1351 FOREST AVENUE,41123512,40.62593854,-74.13471435
5114,247 DYCKMAN STREET,41127243,40.86637133,-73.92816801
5120,1501       BROADWAY ,41128211,40.75662055,-73.98621372
5169,1260 BROADWAY,41135793,40.74830323,-73.9881012
5244,5212       5 AVENUE ,41144258,40.64393851,-74.01162522
5255,2428       CRESTON AVENUE ,41145185,40.86114568,-73.8989324
5262,11 PENN PLAZA,41146119,40.74913994,-73.99189472
5281,1678 3 AVENUE,41148325,40.78393635,-73.95033157
5298,193 COLUMBUS AVENUE,41149373,40.77523724,-73.98029652
5302,3791       EAST TREMONT AVENUE ,41149849,40.82516705,-73.82054235
5321,44  BEDFORD STREET,41152727,40.73045162,-74.00422651
5326,5622 8 AVENUE,41152958,40.63765398,-74.007403
5330,222        EAST 51 STREET ,41153141,40.75617638,-73.96980642
5404,8201 3 AVENUE,41158858,40.62633728,-74.02981037
5418,4126 HYLAN BOULEVARD,41160375,40.53882231,-74.14847672
5422,1360 FULTON STREET,41160851,40.68015457,-73.94621013
5438,35 EAST 18 STREET,41162796,40.73775669,-73.9898802
5449,2559       3 AVENUE ,41163361,40.81115271,-73.92697188
5483,1111       FULTON STREET ,41166331,40.68151019,-73.95720231
5574,241 WEST 42 STREET,41173328,40.75657948,-73.98808946
5574,241 WEST 42 STREET,41173328,40.75657948,-73.98808946
5584,2061 BROADWAY,41174407,40.77828945,-73.9820644
5627,2549 AMSTERDAM AVENUE,41177892,40.85146104,-73.92836845
5637,682 CASTLE HILL AVENUE,41178943,40.82075262,-73.84835918
5786,411        EAST 70 STREET ,41195747,40.7661267,-73.95593606
5787,2800 ATLANTIC AVENUE,41195795,40.6764383,-73.89091699
